Song,Artist,Position
Try That In A Small Town,Jason Aldean,1
Last Night,Morgan Wallen,2
Fast Car,Luke Combs,3
Fukumean,Gunna,4
Calm Down,Rema & Selena Gomez,5
Cruel Summer,Taylor Swift,6
K-POP,"Travis Scott, Bad Bunny & The Weeknd",7
Barbie World,Nicki Minaj & Ice Spice With Aqua,8
Seven,Jung Kook Featuring Latto,9
Vampire,Olivia Rodrigo,10
Flowers,Miley Cyrus,11
Dance The Night,Dua Lipa,12
All My Life,Lil Durk Featuring J. Cole,13
Snooze,SZA,14
Karma,Taylor Swift Featuring Ice Spice,15
Need A Favor,Jelly Roll,16
Kill Bill,SZA,17
What Was I Made For?,Billie Eilish,18
Sure Thing,Miguel,19
Creepin',"Metro Boomin, The Weeknd & 21 Savage",20
Something In The Orange,Zach Bryan,21
Anti-Hero,Taylor Swift,22
Favorite Song,Toosii,23
Religiously,Bailey Zimmerman,24
Dial Drunk,Noah Kahan With Post Malone,25
Die For You,The Weeknd & Ariana Grande,26
Thinkin' Bout Me,Morgan Wallen,27
Ella Baila Sola,Eslabon Armado X Peso Pluma,28
Cupid,Fifty Fifty,29
Next Thing You Know,Jordan Davis,30
White Horse,Chris Stapleton,31
La Bebe,Yng Lvcas x Peso Pluma,32
I'm Good (Blue),David Guetta & Bebe Rexha,33
Thought You Should Know,Morgan Wallen,34
Search & Rescue,Drake,35
Un x100to,Grupo Frontera X Bad Bunny,36
Love You Anyway,Luke Combs,37
Dancin' In The Country,Tyler Hubbard,38
Bury Me In Georgia,Kane Brown,39
Princess Diana,Ice Spice & Nicki Minaj,40
Deli,Ice Spice,41
Put It On Da Floor Again,Latto Featuring Cardi B,42
Where She Goes,Bad Bunny,43
Eyes Closed,Ed Sheeran,44
I Can See You (Taylor's Version) (From The Vault),Taylor Swift,45
Chemical,Post Malone,46
Memory Lane,Old Dominion,47
Super Shy,NewJeans,48
LaLa,Myke Towers,49
Sabor Fresa,Fuerza Regida,50
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",51
"You, Me, & Whiskey",Justin Moore & Priscilla Block,52
Area Codes,Kaliii,53
Your Heart Or Mine,Jon Pardi,54
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",55
Tulum,Peso Pluma & Grupo Frontera,56
Peaches & Eggplants,Young Nudy Featuring 21 Savage,57
What It Is (Block Boy),Doechii Featuring Kodak Black,58
Daylight,David Kushner,59
Mourning,Post Malone,60
Watermelon Moonshine,Lainey Wilson,61
Stand By Me,Lil Durk Featuring Morgan Wallen,62
TQM,Fuerza Regida,63
Heartbroken,"Diplo, Jessie Murph & Polo G",64
Shake Sumn,DaBaby,65
Oh U Went,Young Thug Featuring Drake,66
Everything I Love,Morgan Wallen,67
Popular,"The Weeknd, Playboi Carti & Madonna",68
Truck Bed,HARDY,69
Fragil,Yahritza y Su Esencia x Grupo Frontera,70
ICU,Coco Jones,71
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,72
Speed Drive,Charli XCX,73
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj,74
Bye,Peso Pluma,75
Por Las Noches,Peso Pluma,76
Lagunas,Peso Pluma & Jasiel Nunez,77
Jaded,Miley Cyrus,78
See You Again,"Tyler, The Creator Featuring Kali Uchis",79
Flooded The Face,Lil Uzi Vert,80
ETA,NewJeans,81
Luna,Peso Pluma & Junior H,82
Rubicon,Peso Pluma,83
Fight The Feeling,Rod Wave,84
Angels Don't Always Have Wings,Thomas Rhett,85
El Azul,Junior H x Peso Pluma,86
I'm Just Ken,Ryan Gosling,87
Rush,Troye Sivan,88
Enchanted (Taylor's Version),Taylor Swift,89
Oklahoma Smoke Show,Zach Bryan,90
Thang For You,Rylo Rodriguez Featuring NoCap,91
But I Got A Beer In My Hand,Luke Bryan,92
Cool With You,NewJeans,93
Ain't That Some,Morgan Wallen,94
Girl In Mine,Parmalee,95
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",96
Save Me,Jelly Roll With Lainey Wilson,97
S91,Karol G,98
Talibans II,Burna Boy & Byron Messia,99
Equal Dirt,Rylo Rodriguez,100
