Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"SSD Gigabyte GP-GSTFS31240GNTD, 240GB, SATA III, 2.5'', 7mm",GP-GSTFS31240GNTD,$509.00,$334.00,$99.00,94
"Manhattan Display para Mostrador de 60 Cables USB A Macho - Micro USB B Macho con Recubrimiento Textil, 50cm",394178,$246.00,$48.00,$99.00,28
"Monitor AOC 24B2XHM LCD 23.8"", Full HD, 75Hz, HDMI, Negro",24B2XHM,"$3,575.00","$2,269.00",$144.00,196
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,088.00",$779.00,$99.00,8
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$257.00,$99.00,¡1
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,362.00",$929.00,$99.00,13
"SSD XPG SX8200 Pro, 1TB, PCI Express 3.0, M.2, 3.5mm",ASX8200PNP-1TT-C,"$1,258.00",$869.00,$99.00,87
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$2,515.00","$1,529.00",$144.00,145
"SSD Samsung 980 NVMe, 500GB, PCI Express 3.0, M.2",MZ-V8V500B/AM,$827.00,$549.00,$99.00,15
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, Six-Core, 32MB L3 Cache - con Disipador Wraith Stealth",100-100000031SBX,"$2,525.00","$1,599.00",$99.00,84
"Procesador AMD Ryzen 3 3200G con Gráficos Radeon Vega 8, S-AM4, 3.60GHz, Quad-Core, 4MB L3, con Disipador Wraith Stealth",YD3200C5FHBOX,"$1,709.00","$1,259.00",$99.00,77
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$18,457.00","$12,549.00",$189.00,43
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$876.00,$679.00,$99.00,152
"Xbox Live Gold, 1 Año ― Producto Digital Descargable",5T-00012,"$1,159.00",$869.00,Envío gratis,existencia
