Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Memoria RAM HPE DDR4, 2933MHz, 32GB, CL21, Registered (Buffered)",P00924-B21,"$19,045.00","$8,349.00",$99.00,12
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,919.00","$1,109.00",$99.00,160
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,"$1,015.00",$569.00,$99.00,9
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$21.00,$99.00,3
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$754.00,$418.00,$99.00,27
"Teclado Gamer Ocelot Gaming OGMK02 RGB, Teclado Mecánico, Switch Azul, Alámbrico, Negro (Español)",OGMK02,$466.00,$308.00,$99.00,3352
"SSD Western Digital WD Black SN850, 500GB, PCI Express 4.0, M.2, NVMe",WDS500G1X0E,"$1,775.00",$959.00,$99.00,10
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$119.00,$99.00,216
"Mouse Gamer Cougar Óptico MINOS XT, Alámbrico, USB, 4000DPI, Negro",3MMXTWOB.0001,$561.00,$292.00,$99.00,2
"SSD Western Digital WD Blue SA510, 500GB, SATA III, 2.5"", 7mm",WDS500G3B0A,"$1,040.00",$639.00,$99.00,213
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,253.00",$699.00,$99.00,11
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,253.00",$859.00,$99.00,4
Epson Tanque de Mantenimiento para WF-100,C13T295000,$483.00,$218.00,$99.00,29
"Mouse Logitech Óptico M185, Inalámbrico, USB, 1000DPI, Azul",910-002236,$274.00,$127.00,$99.00,202
"Mouse Gamer Ocelot Gaming Óptico Techno Black, Alámbrico, USB, 7200DPI, Negro",OCM TECHNO BLACK,$279.00,$157.00,$99.00,1369
"SSD Gigabyte GP-GSTFS31240GNTD, 240GB, SATA III, 2.5'', 7mm",GP-GSTFS31240GNTD,$513.00,$334.00,$99.00,105
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$669.00,$459.00,$99.00,46
"Teclado Gamer Ocelot Gaming OGEK03 RGB, Alámbrico, Negro (Español)",OGEK03,$319.00,$195.00,$99.00,5656
"Monitor LG DualUp Ergo LED 27.6"", Quad HD, Ultra Tall, 60Hz,  HDMI, Bocinas Integradas (2 x 7W), Negro",28MQ780-B,"$14,871.00","$8,949.00",$179.00,3
"Teclado Gamer Ocelot Gaming OK-M60 RGB 60%, Alámbrico, Negro (Español)",OK-M60,$349.00,$219.00,$99.00,1395
"SSD XPG SPECTRIX S20G, 500GB, PCI Express 3.0, M.2",ASPECTRIXS20G-500G-C,$555.00,$401.00,$99.00,16
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Blanco",910-005941,"$2,667.00","$1,929.00",$99.00,2
"ASUS Webcam C3, Full HD1920 x 1080 Pixeles, Inclinación 90°, USB 2.0, Negro, Compatible con Skype/Microsoft Teams/Zoom",90YH0340-B2UA00,$920.00,$589.00,$99.00,5
"Teclado Gamer Ocelot Gaming Mech 2 RGB, Teclado Mecánico, Switch Red, Alámbrico, Negro (Español)",OK-BLACK MECH 2,$657.00,$249.00,$99.00,974
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,206.00",$639.00,$99.00,47
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$677.00,$519.00,$99.00,64
"Mouse Gamer Logitech Óptico G203 LightSync, Alámbrico, USB, 8000DPI, Azul",910-005795,$495.00,$364.00,$99.00,¡1
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,713.00","$1,879.00",$99.00,2
"SSD Kingston NV2 NVMe, 2TB, PCI Express 4.0, M.2",NV2S/2000G,"$1,542.00","$1,289.00",$99.00,87
"SSD XPG GAMMIX S70 BLADE NVMe, 4TB, PCI Express 4.0, M.2",AGAMMIXS70B-4T-CS,"$5,993.00","$3,949.00",$99.00,50
"Dell Mochila ES1520P para Laptop 15"", Negro",460-BCTJ,$611.00,$405.00,$99.00,244
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,314.00","$1,609.00",$99.00,33
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",P00922-B21,"$13,644.00","$3,929.00",$99.00,35
"SSD PNY CS900, 1TB, SATA III, 2.5'', 7mm",D7CS900-1TB-RB,$919.00,$669.00,$99.00,56
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,320.00",$939.00,$99.00,15
"SSD HP EX900, 1TB, PCI Express 3.0, M.2",5XM46AA,"$1,115.00",$629.00,$99.00,771
"Memoria RAM Corsair DDR3, 1333MHz, 4GB, CL9, Non-ECC, SO-DIMM, para Mac",CMSA4GX3M1A1333C9,$353.00,$236.00,$99.00,4
"Mouse Gamer ASUS Óptico ROG KERIS P509, Alámbrico, USB, 16000DPI, Negro",90MP01R0-B0UA00,"$1,019.00",$609.00,$99.00,149
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$864.00,$689.00,$99.00,236
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$282.00,$99.00,¡1
"SSD Adata FALCON NVMe, 1TB, PCI Express 3.0, M.2",AFALCON-1T-C,"$1,788.00","$1,259.00",$99.00,¡1
"Teclado Gamer Ocelot Gaming OGMK03 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Negro (Español)",OGMK03,$499.00,$363.00,$99.00,66
"Procesador Intel Core i7-12700K Intel UHD Graphics 770, S-1700, 3.60GHz, 12-Core, 25MB Smart Cache (12va. Generación - Alder Lake)",BX8071512700K,"$7,923.00","$5,999.00",$99.00,37
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,089.00",Envío gratis,145
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$786.00,$599.00,$99.00,21
"Epcom Micrófono Omnidireccional en Sensor de Humo, Alámbrico, 1000 Ohmios",MIC-602A,$321.00,$179.00,$99.00,157
"Nexxt Solutions Foco LED Inteligente NHB-W310, WiFi, Luz Fria/Cálida, 4W, 400 Lúmenes, Ahorro de 87% vs Foco Tradicional 40W - 3 Piezas",NHB-W310 3PK,$720.00,$422.00,$99.00,20
"Immortal Gaming Gamepad para Celular IMCG01 con Ventiladores y Gatillos, Negro",IMCG01,$399.00,$191.00,$99.00,43
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$610.00,$438.00,$99.00,16
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,280.00",$829.00,$99.00,14
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,212.00","$1,609.00",$99.00,19
"Teclado Gamer Ocelot Gaming OGMK01 RGB, Teclado Mecánico, Switch Azul, Alámbrico, Negro (Español)",OGMK01,$569.00,$432.00,$99.00,913
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,134.00","$1,819.00",$99.00,229
"SSD XPG GAMMIX S70 BLADE NVMe, 2TB, PCI Express 4.0, M.2",AGAMMIXS70B-2T-CS,"$2,047.00","$1,599.00",$99.00,51
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,739.00",$99.00,64
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,274.00","$1,759.00",$159.00,8
"Kit de Teclado y Mouse Cooler Master Devastator 3 Plus, Alámbrico, USB, Negro (Español)",GB-3001-KKMF1-LS,$673.00,$466.00,$99.00,240
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,727.00","$1,459.00",$144.00,8
"SSD Western Digital WD Black SN850X NVMe, 1TB, PCI Express 4.0, M.2",WDS100T2X0E,"$1,809.00","$1,339.00",$99.00,5
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$17,138.00","$12,519.00",$189.00,43
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,000.00",$639.00,$99.00,15
"Monitor Dell E1916HV LED 18.51'', HD, VGA, Negro",210-AGMG,"$1,782.00","$1,229.00",$149.00,258
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,189.00","$1,329.00",$99.00,110
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$852.00,$679.00,$99.00,50
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,178.00","$3,779.00",$149.00,9
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$540.00,$406.00,$99.00,28
"Procesador AMD Ryzen 7 5700X, S-AM4, 3.40GHz, 8-Core, 32MB L3 Cache - no incluye Disipador",100-100000926WOF,"$3,375.00","$2,949.00",$99.00,10
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Negro",910-005879,"$2,449.00","$1,999.00",$99.00,2
"Teclado Logitech Mx Keys Mini, Inalámbrico, RF Wireless/Bluetooth, Rosa (Español)",920-010478,"$1,823.00","$1,229.00",$99.00,26
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$976.00,$639.00,$99.00,956
"SSD Western Digital WD Blue SN570 NVMe, 1TB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS100T3B0C,$987.00,$839.00,$99.00,13
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,801.00","$1,349.00",$99.00,57
"Memoria RAM XPG Spectrix D60G Titanio RGB DDR4, 4133MHz, 8GB, Non-ECC, CL19, XMP, Gris",AX4U41338G19J-ST60,$742.00,$529.00,$99.00,12
"Mousepad Gamer Ocelot Gaming OMP01, 35 x 25cm, Grosor 3mm, Negro",OMP01,$307.00,$131.00,$99.00,2461
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,869.00","$1,419.00",$99.00,489
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,896.00","$1,469.00",$99.00,107
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,471.00","$1,179.00",$99.00,428
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$634.00,$495.00,$99.00,151
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$596.00,$439.00,$99.00,313
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,146.00","$2,299.00",$99.00,28
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,930.00","$6,299.00",$209.00,134
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,983.00","$1,669.00",$99.00,32
"Logitech Volante G920 Racing Wheel, Alámbrico, USB 2.0, para PC/Xbox One",941-000123,"$5,257.00","$3,959.00",$144.00,3
"SSD Samsung 980 NVMe, 500GB, PCI Express 3.0, M.2",MZ-V8V500B/AM,$834.00,$629.00,$99.00,9
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,144.00","$2,799.00",$99.00,28
"HP Docking Station 5TW10AA USB-C, 4x USB 3.0, 1x USB-C, 1x HDMI/2x DisplayPort/1x RJ-45, Negro",5TW10AA,"$4,238.00","$2,779.00",$99.00,71
"SSD Adata FALCON NVMe, 512GB, PCI Express 3.0, M.2",AFALCON-512G-C,$627.00,$509.00,$99.00,74
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,726.00","$1,269.00",$99.00,¡1
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,832.00","$1,609.00",$99.00,267
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,270.00",$989.00,$99.00,14
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,222.00",$979.00,$99.00,21
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,241.00",$929.00,$99.00,8
"Mouse Logitech Óptico MX Anywhere 3, Recargable, Inalámbrico, USB, 4000DPI, Negro",910-005992,"$1,490.00","$1,159.00",$99.00,6
"Memoria Flash SanDisk para Nintendo Switch, 256GB MicroSDXC Class 3 (U3)",DSQXAO-256G-GNCZN,$765.00,$519.00,$99.00,471
"SSD Samsung 970 EVO Plus NVMe, 500GB, M.2, PCI Express 3.0",MZ-V7S500B/AM,$885.00,$709.00,$99.00,13
"Procesador Intel Core i5-11400F, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación - Rocket Lake)",BX8070811400F,"$2,664.00","$2,239.00",$99.00,1379
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,566.00",$999.00,$99.00,186
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,641.00","$2,949.00",$319.00,2
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$2,149.00","$1,529.00",$144.00,133
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Rojo",CA-9011198-NA,$603.00,$425.00,$99.00,3
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,367.00","$2,829.00",$99.00,¡1
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$7,948.00","$6,369.00",Envío gratis,10
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$5,997.00","$4,369.00",$99.00,2
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,327.00","$1,139.00",$99.00,101
"Kit Gamer 4 en 1 Naceb Back To The Wild Teclado + Mouse + Audífonos + Mousepad, Alámbrico, USB, Negro/Rojo (Español)",NA-0934,$713.00,$569.00,$99.00,4
"SSD HP S650, 960GB, SATA III, 2.5""",345N0AA,$819.00,$629.00,$99.00,96
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,559.00","$1,149.00",$99.00,40
"Mouse Logitech Óptico POP, Inalámbrico, 4000DPI, Violeta/Menta",910-006550,$598.00,$468.00,$99.00,3
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, Six-Core, 32MB L3 Cache - con Disipador Wraith Stealth",100-100000031SBX,"$2,179.00","$1,619.00",$99.00,86
"Monitor Ghia MG2020 LED 19.5"", HD, HDMI, Negro",MNLG-23,"$1,865.00","$1,319.00",$144.00,450
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$826.00,$629.00,$99.00,195
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,537.00","$2,909.00",$99.00,3
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,895.00","$2,469.00",$99.00,35
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$221.00,$99.00,32
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$816.00,$659.00,$99.00,53
"Procesador AMD Ryzen 9 5950X, S-AM4, 3.40GHz, 8MB L3 Cache - no incluye Disipador",100-100000059WOF,"$9,014.00","$7,739.00",$99.00,10
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,332.00",$969.00,$99.00,13
"Memoria Flash SanDisk SDSQXAO-512G-GNCZN, 512GB MicroSDXC Class 3 (U3), para Nintendo Switch",DSQXAO-512G-GNCZN,"$2,176.00",$899.00,$99.00,3
"Mini Mouse Logitech Óptico M187, Inalámbrico, USB, 1000DPI Rosa",910-005364,$355.00,$222.00,$99.00,175
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,207.00","$2,819.00",$99.00,893
"Jabra Adaptador LINK 260, USB Macho - QD, Negro",260-09,"$1,411.00",$499.00,$99.00,9
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Rojo",CGC-500/RD,"$3,835.00","$3,159.00",$319.00,11
"SSD XPG Spectrix S40G, 512GB, PCI Express 3.0, M.2",AS40G-512GT-C,$663.00,$549.00,$99.00,3
"Regulador Koblenz 00-1588-3, 1000W, 2250VA, Entrada 95-145V, Salida 108-132V, 8 Contactos",00-1588-3,$892.00,$709.00,$99.00,37
"DSC Gabinete para Panel de Control GMX003, Beige, para  PC1832/HS2032/HS2128",GMX-003,$563.00,$382.00,$99.00,1220
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$590.00,$436.00,$99.00,59
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,190.00","$1,939.00",$99.00,5
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,525.00","$3,609.00",$144.00,¡1
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,288.00","$1,929.00",$99.00,¡1
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,022.00",$869.00,$99.00,78
"Memoria RAM Patriot Viper Steel DDR4, 2666MHz, 8GB, Non-ECC, CL18, SO-DIMM, XMP",PVS48G266C8S,$441.00,$313.00,$99.00,3
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$484.00,$353.00,$99.00,1025
"Kit Gamer 4 en 1 Corsair Teclado K55 RGB Pro + Mouse Harpoon RGB Pro + Audífonos HS50 Pro + Mousepad MM100, Alámbrico, USB, Negro (Español)",CH-9226A65-SP,"$1,840.00","$1,399.00",$99.00,208
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,144.00","$3,539.00",$99.00,3
"Perfect Choice Monoaural PC-116882, Inalámbrico, Bluetooth, Negro",PC-116882,$819.00,$569.00,$99.00,5
"Procesador AMD Ryzen 7 5800X, S-AM4, 3.80GHz, 8-Core, 32MB L3 Cache - no incluye Disipador",100-100000063WOF,"$3,992.00","$3,479.00",$99.00,19
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,294.00","$1,079.00",$99.00,21
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,935.00","$2,549.00",$99.00,4
"Xiaomi Aspiradora Mi Vacuum Cleaner Mini, 120W, 100 ml, Sin bolsa, Blanco",MI VACUUM MINI,"$1,099.00",$759.00,$99.00,181
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 2060 D6 6G (rev. 2.0), 6GB 192-bit GDDR6, PCI Express x16 3.0",GV-N2060D6-6GD REV2.0,"$10,459.00","$8,329.00",$99.00,3
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,942.00","$2,549.00",$99.00,4
