Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,787.00","$3,699.00",$164.00,80
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,625.00","$1,429.00",$99.00,461
"Fuente de Poder Cooler Master MWE GOLD 850 V2 FULL MODULAR 80 PLUS Gold, 24-pines ATX, 120mm, 850W",MPE-8501-AFAAG-U2,"$2,183.00","$1,849.00",$99.00,39
"Memoria RAM XPG Lancer DDR5, 5200MHz, 16GB, ECC, CL38, XMP",AX5U5200C3816G-CLABK,"$1,350.00",$849.00,$99.00,42
"SSD Team Group MP34 NVMe 1TB, PCI Express 3.0, M.2",TM8FP4001T0C101,$209.00,$669.00,$99.00,61
"Mouse Gamer Ocelot Gaming Óptico OGMM02, Alámbrico, USB A, 3200DPI, Negro",OGMM02,$249.00,$86.00,$99.00,15
"Mouse Gamer Ocelot Gaming Óptico OGMM01, Alámbrico, USB A, 6400DPI, Negro",OGMM01,$249.00,$89.00,$99.00,86
"Mouse Gamer Ocelot Gaming Óptico OGEM02, Alámbrico, USB A, 2400DPI, Negro",OGEM02,$219.00,$87.00,$99.00,345
"Mouse Gamer Ocelot Gaming Óptico OGMM03, Alámbrico, USB A, 3200DPI, Negro/Rosa",OGMM03,$249.00,$94.00,$99.00,178
"Mouse Gamer Ocelot Gaming Óptico OGEM01, Alámbrico, USB A, 2400DPI, Negro",OGEM01,$365.00,$104.00,$99.00,92
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$568.00,$42.00,$99.00,5
"SSD Kingston A400, 120GB, SATA III, M.2",A400M8/120G,"$1,018.00",$308.00,$99.00,2
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,"$1,367.00",$445.00,$99.00,4
"SSD XPG GAMMIX S41 3D NAND, 1TB, PCI Express, M.2",AGAMMIXS41-1T-C,"$1,777.00",$809.00,$99.00,8
"SSD Western Digital WD_Black SN770 NVMe, 1TB, PCI Express 4.0, M.2",WDS100T3X0E,$444.00,"$1,039.00",$99.00,¡1
"Mouse Gamer Ocelot Gaming Óptico White Pearl, Alámbrico, USB, 7200DPI, Blanco",OCM WHITE PEARL,$299.00,$157.00,$99.00,1535
"Cinta Zebra Ribbon Resin 5095, 4.33'' x 110mm, 6 Piezas",05095BK11045,"$6,999.00","$1,139.00",$99.00,36
"Ocelot Gaming Audífonos Gamer OGMH02, Alámbrico, 2.2 Metros, 3.5mm/USB, Negro",OGMH02,$389.00,$217.00,$99.00,675
